df_index;Key;Priority;TimeEstimate;TimeOriginalEstimate;DeltaDueCreate;SizeSummary;SizeDescription;Story;Epic;Task;Bug;Incident;SubTask;CDeliveryManager;CProjectManager;CSeniorDeveloper;CMediorDeveloper;CJuniorDeveloper;CDesigner;CSystemAccount;CTester;CIntern;CClient;CUndefined;ADeliveryManager;AProjectManager;ASeniorDeveloper;AMediorDeveloper;AJuniorDeveloper;ADesigner;ASystemAccount;ATester;AIntern;AClient;AUndefined;RDeliveryManager;RProjectManager;RSeniorDeveloper;RMediorDeveloper;RJuniorDeveloper;RDesigner;RSystemAccount;RTester;RIntern;RClient;RUndefined;WorkRatio;Fitness
0;CONIU-2;5;0;0;31536000.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;-1.0;1.0
1;CONIU-7;3;1800;3600;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;50.0;1.0
2;CONIU-8;3;1800;7200;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;75.0;1.0
3;CONIU-9;3;0;7200;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;175.0;1.0
4;CONIU-10;3;0;7200;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0.0;1.0
5;CONIU-11;3;0;14400;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;181.0;1.0
6;CONIU-12;3;0;7200;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0;1.0
7;CONIU-13;3;0;7200;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0.0;1.0
8;CONIU-14;3;0;7200;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;12.0;1.0
9;CONIU-15;3;0;3600;31536000.0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;100.0;1.0
