df_index,case:clientId,case:concept:name,TeamMemberKey,timestamp,From,concept:name
0,60120,CONBR-163,jesse.klaasse,2021-07-05T12:45:49.217+0200,INITIAL_NODE,Backlog
1,60120,CONBR-163,jesse.klaasse,2021-07-05T12:45:53.085+0200,To Do,In Progress
2,60120,CONBR-163,jesse.klaasse,2021-07-05T12:46:01.465+0200,In Progress,Done
3,60049,CONBR-162,JIRAUSER12417,2021-07-01T10:07:03.064+0200,INITIAL_NODE,Backlog
4,60049,CONBR-162,JIRAUSER12417,2021-07-01T10:07:41.687+0200,To Do,In Progress
5,60049,CONBR-162,JIRAUSER12417,2021-07-01T10:07:44.633+0200,In Progress,Ready to Review
6,60049,CONBR-162,sander.jongbloets,2021-07-02T09:34:32.603+0200,Ready to Review,Done
7,59808,CONBR-161,sander.jongbloets,2021-06-25T14:16:32.195+0200,INITIAL_NODE,Backlog
8,59447,CONBR-160,bjorn.vande.ruit,2021-06-16T12:02:16.585+0200,INITIAL_NODE,Backlog
9,59447,CONBR-160,sander.jongbloets,2021-06-30T16:47:16.626+0200,To Do,In Progress
10,59447,CONBR-160,sander.jongbloets,2021-06-30T17:04:54.570+0200,In Progress,Ready to Review
11,59447,CONBR-160,sander.jongbloets,2021-06-30T17:04:56.129+0200,Ready to Review,In Progress
12,59447,CONBR-160,sander.jongbloets,2021-06-30T17:05:01.070+0200,In Progress,In Review
13,59447,CONBR-160,sander.jongbloets,2021-07-01T09:19:22.490+0200,In Review,Done
14,59446,CONBR-159,bjorn.vande.ruit,2021-06-16T12:01:43.960+0200,INITIAL_NODE,Backlog
15,59446,CONBR-159,sander.jongbloets,2021-07-02T14:59:16.639+0200,To Do,In Progress
16,59446,CONBR-159,sander.jongbloets,2021-07-02T15:54:29.278+0200,In Progress,Done
17,59445,CONBR-158,bjorn.vande.ruit,2021-06-16T12:01:29.112+0200,INITIAL_NODE,Backlog
18,59445,CONBR-158,JIRAUSER12417,2021-07-02T11:20:56.259+0200,To Do,In Progress
19,59445,CONBR-158,JIRAUSER12417,2021-07-02T14:34:36.107+0200,In Progress,Ready to Review
20,59445,CONBR-158,sander.jongbloets,2021-07-06T11:43:56.126+0200,Ready to Review,Done
21,59444,CONBR-157,bjorn.vande.ruit,2021-06-16T12:01:04.416+0200,INITIAL_NODE,Backlog
22,59444,CONBR-157,JIRAUSER12417,2021-06-30T11:06:26.196+0200,To Do,In Progress
23,59444,CONBR-157,JIRAUSER12417,2021-06-30T11:49:55.359+0200,In Progress,Ready to Review
24,59444,CONBR-157,sander.jongbloets,2021-07-01T09:19:24.988+0200,Ready to Review,Done
25,59443,CONBR-156,bjorn.vande.ruit,2021-06-16T12:00:51.079+0200,INITIAL_NODE,Backlog
26,59443,CONBR-156,JIRAUSER12417,2021-06-30T11:06:27.275+0200,To Do,In Progress
27,59443,CONBR-156,JIRAUSER12417,2021-06-30T11:49:39.334+0200,In Progress,Ready to Review
28,59443,CONBR-156,sander.jongbloets,2021-07-01T09:19:23.912+0200,Ready to Review,Done
29,58955,CONBR-155,sander.jongbloets,2021-06-04T10:03:57.452+0200,INITIAL_NODE,Backlog
30,58955,CONBR-155,JIRAUSER12417,2021-06-15T09:30:32.130+0200,To Do,In Progress
31,58944,CONBR-154,bjorn.vande.ruit,2021-06-03T17:26:08.520+0200,INITIAL_NODE,Backlog
32,58944,CONBR-154,sander.jongbloets,2021-06-08T09:59:58.196+0200,To Do,In Progress
33,58944,CONBR-154,sander.jongbloets,2021-06-08T15:28:46.578+0200,In Progress,Ready to Review
34,58944,CONBR-154,sander.jongbloets,2021-06-14T09:39:51.098+0200,Ready to Review,To Do
35,58944,CONBR-154,jaap.van.hengstum,2021-06-24T08:41:41.531+0200,To Do,In Progress
36,58944,CONBR-154,sander.jongbloets,2021-06-25T16:52:46.069+0200,In Progress,In Review
37,58944,CONBR-154,sander.jongbloets,2021-06-30T16:52:23.741+0200,In Review,Done
38,58931,CONBR-153,JIRAUSER12417,2021-06-03T11:08:29.135+0200,INITIAL_NODE,Backlog
39,58931,CONBR-153,JIRAUSER12417,2021-06-03T11:08:33.591+0200,To Do,In Progress
40,58931,CONBR-153,JIRAUSER12417,2021-06-03T11:09:13.055+0200,In Progress,Ready to Review
41,58931,CONBR-153,JIRAUSER12417,2021-06-03T11:09:38.588+0200,Ready to Review,To Do
42,58931,CONBR-153,JIRAUSER12417,2021-06-03T11:10:11.985+0200,To Do,Rejected
43,58910,CONBR-152,JIRAUSER12417,2021-06-02T11:02:49.162+0200,INITIAL_NODE,Backlog
44,58910,CONBR-152,JIRAUSER12417,2021-06-03T09:29:09.912+0200,To Do,In Progress
45,58910,CONBR-152,JIRAUSER12417,2021-06-03T10:33:36.690+0200,In Progress,Ready to Review
46,58910,CONBR-152,sander.jongbloets,2021-06-15T09:33:32.997+0200,Ready to Review,Done
47,58909,CONBR-151,JIRAUSER12417,2021-06-02T11:01:19.211+0200,INITIAL_NODE,Backlog
48,58909,CONBR-151,JIRAUSER12417,2021-06-02T11:02:52.776+0200,To Do,In Progress
49,58909,CONBR-151,JIRAUSER12417,2021-06-03T09:30:50.920+0200,In Progress,Ready to Review
50,58909,CONBR-151,sander.jongbloets,2021-06-14T10:24:52.430+0200,Ready to Review,Done
51,58895,CONBR-150,jesse.klaasse,2021-06-02T09:45:06.211+0200,INITIAL_NODE,Backlog
52,58895,CONBR-150,jaap.van.hengstum,2021-06-07T08:09:59.846+0200,To Do,Done
53,58805,CONBR-149,jaap.van.hengstum,2021-05-31T09:06:38.174+0200,INITIAL_NODE,Backlog
