df_index,IssueId,Key,Authorkey,TimeCreated,TimeSpent
0,60120,CONBR-163,jesse.klaasse,2021-07-05T12:45:59.756+0200,900
1,60049,CONBR-162,JIRAUSER12417,2021-07-01T10:07:57.031+0200,900
2,59447,CONBR-160,sander.jongbloets,2021-06-30T16:48:33.768+0200,2700
3,59446,CONBR-159,sander.jongbloets,2021-07-02T15:54:40.058+0200,5400
4,59445,CONBR-158,JIRAUSER12417,2021-07-02T14:34:34.739+0200,9900
5,59445,CONBR-158,JIRAUSER12417,2021-07-04T17:12:53.736+0200,5400
6,59445,CONBR-158,sander.jongbloets,2021-07-05T16:14:06.921+0200,1800
7,59445,CONBR-158,sander.jongbloets,2021-07-06T11:44:19.543+0200,1800
8,59444,CONBR-157,JIRAUSER12417,2021-06-30T11:49:53.386+0200,1800
9,59443,CONBR-156,JIRAUSER12417,2021-06-30T11:49:37.409+0200,3600
10,58955,CONBR-155,JIRAUSER12417,2021-06-15T09:31:00.243+0200,900
11,58944,CONBR-154,sander.jongbloets,2021-06-08T11:55:28.295+0200,8100
12,58944,CONBR-154,sander.jongbloets,2021-06-08T15:28:35.075+0200,9900
13,58931,CONBR-153,JIRAUSER12417,2021-06-03T11:09:11.545+0200,1800
14,58909,CONBR-151,JIRAUSER12417,2021-06-03T09:17:26.131+0200,15300
15,58895,CONBR-150,jaap.van.hengstum,2021-06-07T08:09:57.840+0200,2700
16,58805,CONBR-149,jaap.van.hengstum,2021-05-31T09:06:51.695+0200,7200
17,58751,CONBR-148,sander.jongbloets,2021-06-01T16:28:21.951+0200,3600
18,58750,CONBR-147,sander.jongbloets,2021-05-31T15:23:05.881+0200,1800
19,58748,CONBR-145,sander.jongbloets,2021-05-31T17:18:30.685+0200,2700
20,58630,CONBR-144,sander.jongbloets,2021-05-28T11:44:44.233+0200,3600
21,58630,CONBR-144,sander.jongbloets,2021-05-28T11:45:18.091+0200,2700
22,58204,CONBR-143,sander.jongbloets,2021-05-19T09:29:30.138+0200,2700
23,58109,CONBR-142,sander.jongbloets,2021-06-01T16:28:35.351+0200,5400
24,58109,CONBR-142,jaap.van.hengstum,2021-06-02T08:15:56.313+0200,10800
25,57912,CONBR-141,sander.jongbloets,2021-05-17T12:28:11.804+0200,6300
26,57910,CONBR-140,sander.jongbloets,2021-05-17T14:04:40.648+0200,3600
27,57908,CONBR-139,jaap.van.hengstum,2021-05-19T09:33:29.420+0200,14400
28,57635,CONBR-138,sander.jongbloets,2021-05-05T09:19:25.923+0200,1800
29,57242,CONBR-136,jaap.van.hengstum,2021-04-28T08:43:19.789+0200,2700
30,57147,CONBR-135,jaap.van.hengstum,2021-04-23T08:12:43.992+0200,9000
31,56830,CONBR-134,sander.jongbloets,2021-05-11T17:34:09.388+0200,1800
32,56830,CONBR-134,sander.jongbloets,2021-05-12T14:05:55.727+0200,3600
33,56641,CONBR-133,jaap.van.hengstum,2021-04-14T07:54:27.273+0200,3600
34,56618,CONBR-132,JIRAUSER12417,2021-04-19T16:53:19.685+0200,7200
35,56618,CONBR-132,JIRAUSER12417,2021-04-19T22:57:38.292+0200,3600
36,56618,CONBR-132,JIRAUSER12417,2021-06-01T09:28:18.942+0200,14400
37,56618,CONBR-132,JIRAUSER12417,2021-06-01T09:29:04.907+0200,7200
38,56615,CONBR-131,jaap.van.hengstum,2021-04-13T16:11:59.889+0200,900
39,56564,CONBR-129,sander.jongbloets,2021-04-12T17:40:41.943+0200,900
40,56416,CONBR-128,JIRAUSER12417,2021-04-07T11:31:19.383+0200,3600
41,56415,CONBR-127,JIRAUSER12417,2021-04-07T11:31:54.733+0200,1800
42,56408,CONBR-126,sander.jongbloets,2021-04-06T14:32:18.547+0200,1800
43,56408,CONBR-126,jaap.van.hengstum,2021-04-08T08:38:40.915+0200,8100
44,56380,CONBR-125,jaap.van.hengstum,2021-04-06T08:51:37.944+0200,26100
45,56380,CONBR-125,jaap.van.hengstum,2021-04-08T08:41:04.100+0200,3600
46,56380,CONBR-125,jaap.van.hengstum,2021-04-08T08:41:13.216+0200,6300
47,56380,CONBR-125,jaap.van.hengstum,2021-04-12T17:32:31.443+0200,7200
48,56149,CONBR-124,luuk.naaijen,2021-04-29T16:51:38.600+0200,900
49,56149,CONBR-124,sander.jongbloets,2021-04-29T17:12:11.688+0200,14400
50,56149,CONBR-124,sander.jongbloets,2021-04-29T17:13:12.421+0200,3600
51,56149,CONBR-124,sander.jongbloets,2021-04-30T17:47:45.078+0200,2700
52,56149,CONBR-124,sander.jongbloets,2021-04-30T17:47:56.250+0200,18900
53,56149,CONBR-124,sander.jongbloets,2021-05-03T12:22:46.577+0200,3600
54,56149,CONBR-124,sander.jongbloets,2021-05-03T12:59:36.580+0200,2700
55,56149,CONBR-124,luuk.naaijen,2021-05-03T17:59:28.941+0200,600
56,56148,CONBR-123,JIRAUSER12417,2021-04-19T14:32:41.952+0200,9900
57,56148,CONBR-123,jaap.van.hengstum,2021-04-29T09:24:33.330+0200,14400
58,56147,CONBR-122,JIRAUSER12417,2021-04-19T14:31:37.700+0200,3600
